CELL_LINE_NAME,DRUG_NAME,LN_IC50
NCIH226,Pictilisib,3.5384480000000003
TE8,MIRA-1,6.354129
NCIH1793,P22077,4.690507
A549,EPZ004777,5.962499
NCIH226,Zoledronate,6.192528
NCIH2009,KU-55933,5.148503
RCC10RGB,KU-55933,4.15799
OVCAR3,PD173074,4.934525
IALM,SGC0946,1.2171459999999998
NCIH1650,LCL161,5.000008
SKMEL3,Fulvestrant,3.356229
NCIH1975,Epirubicin,-2.472324
SW948,Selumetinib,1.913252
HCC1143,Lapatinib,2.022783
NCIH1355,LCL161,5.590259
DU145,UNC0638,4.649064
SCC25,Navitoclax,1.286612
HCT116,GSK-LSD1,2.292842
KYSE510,5-Fluorouracil,4.99557
SKNFI,GW441756,3.211199
639V,UMI-77,4.71336
SKMEL2,NVP-ADW742,5.1106489999999996
BXPC3,Wnt-C59,3.507802
HCC1143,AZD8055,2.803974
NCIN87,SCH772984,0.5340239999999999
NCIH2347,Osimertinib,3.5575629999999996
IGROV1,AT13148,0.746257
639V,WIKI4,3.7850050000000004
SUIT2,Ribociclib,4.568002
NCIH1355,GSK2578215A,6.5432
H4,LMP744,-3.376368
NCIH1975,Alpelisib,2.4283240000000004
TE8,EPZ004777,5.665941
ONS76,Fludarabine,6.369091
ONS76,Dinaciclib,-2.995975
NCIH226,AMG-319,7.144928
HPAC,POMHEX,2.163993
NCIH2009,AZD6738,2.56922
IGROV1,BMS-536924,0.343534
SW48,Luminespib,-4.038418
A549,Ruxolitinib,4.094526999999999
786O,Dihydrorotenone,2.130368
639V,WZ4003,4.891639
BICR31,AZD5363,3.57746
NCIH1650,Afatinib,1.798059
639V,BMS-536924,1.833926
NCIH2009,Staurosporine,-2.383856
SKMEL3,PF-4708671,5.235426
BICR31,Wee1 Inhibitor,2.163577
NCIH1793,PFI3,6.756429
BXPC3,UMI-77,4.983968
HCT116,Dactinomycin,-3.643711
RCC10RGB,NU7441,5.041976
NCIH1975,SGC-CBP30,4.563552
MESSA,AZD5991,3.562347
HCC1806,MG-132,-0.960643
BXPC3,EHT-1864,3.304326
HCT116,Entinostat,1.2433
ONS76,Navitoclax,2.951159
OVISE,Schweinfurthin A,3.127653
LS1034,IWP-2,3.361575
NCIH1650,AZD5991,5.749526
SKMEL2,Sabutoclax,1.259106
GAMG,Vinorelbine,-4.3724
SUIT2,AGI-6780,3.6772769999999997
SUIT2,PD173074,4.5959010000000005
OVCAR3,AGI-5198,4.013498
SKNSH,Temsirolimus,1.847861
BXPC3,WEHI-539,5.1382650000000005
SKNFI,Obatoclax Mesylate,-0.622739
KP2,L-Oxonoreleagnine,4.1703209999999995
COLO680N,Luminespib,0.882841
LOXIMVI,AZD5438,0.772756
GAMG,Gallibiscoquinazole,2.240234
SKMEL3,Tozasertib,2.0241689999999997
OVCAR3,Fludarabine,5.439808
RCM1,Nelarabine,7.283946
HPAC,AZD5991,6.822985000000001
NCIH1975,Mitoxantrone,0.146024
SCC25,EHT-1864,2.64338
COLO680N,PRIMA-1MET,6.017532
OVISE,Uprosertib,3.9088
NCIH1650,Afuresertib,2.843108
HCC1806,AZD6738,-0.244329
RCM1,MK-1775,1.255107
KYSE510,AZD4547,3.9466690000000004
HPAC,Crizotinib,3.5928449999999996
NCIH1437,Gefitinib,2.270706
COLO680N,AGI-5198,6.48741
SKNSH,Daporinad,-5.070958
LNCAPCLONEFGC,Uprosertib,-3.702114
786O,PFI-1,3.627008
NCIH1793,PLX-4720,5.540102
NCIH226,Uprosertib,4.51698
SW48,AZD5153,1.229317
SKNSH,Navitoclax,2.424282
LS1034,Leflunomide,5.716982
OVISE,XAV939,5.949511
BXPC3,Taselisib,2.560436
IALM,GDC0810,4.802353
KP2,MK-2206,5.043195
RCM1,Bleomycin,6.628342
IALM,NU7441,2.810157
SKNFI,AZD7762,0.162705
BICR31,IWP-2,2.673393
SW948,EHT-1864,3.396351
NCIH2009,Obatoclax Mesylate,0.392933
GAMG,Avagacestat,4.860881
RCM1,GSK2606414,3.9069769999999995
OVISE,YK-4-279,4.131645
TE8,JQ1,1.9191150000000001
5637,L-Oxonoreleagnine,3.724792
KP2,Ribociclib,5.517313
SNB75,NU7441,2.387683
SKNFI,Temozolomide,6.944226
LOVO,Dactolisib,-3.076397
SKNSH,VE821,3.796175
TE8,ICL-SIRT078,5.489909
LOXIMVI,Temsirolimus,-0.41801800000000006
NCIN87,Elephantin,3.297474
5637,Bleomycin,0.764463
MCF7,Ribociclib,3.4031839999999995
COLO680N,Dactolisib,1.7309869999999998
NCIH2009,Methotrexate,1.042604
SW948,NU7441,2.64493
GAMG,OTX015,3.3947540000000003
DU145,Elephantin,4.850518
CORL23,Pictilisib,0.9698959999999999
LOVO,Vinblastine,-4.555729
SCC25,PD173074,5.557171
HT29,Motesanib,7.566388000000001
KU1919,Sabutoclax,-1.0147389999999998
CORL23,glutathione,10.144209
SCC25,Tretinoin,3.645579
NCIH1793,KU-55933,6.473175
COLO829,AZD6738,1.6597419999999998
COLO680N,Afatinib,2.874285
COLO680N,AZD5153,3.301044
HCT116,GSK1904529A,3.679533
786O,NVP-ADW742,2.161375
IALM,Trametinib,2.039718
CORL23,VE821,3.49011
RCM1,Zoledronate,5.077732
RCC10RGB,Alpelisib,5.195583
LNCAPCLONEFGC,MIRA-1,6.086561
NCIH1975,MIRA-1,6.375367
KYSE510,RVX-208,4.027368
NCIN87,Mitoxantrone,1.333783
COLO680N,Osimertinib,2.288057
HCC1806,AZD6482,3.5777419999999998
NCIH226,EPZ5676,6.884324
5637,Tanespimycin,-0.72209
NCIN87,GSK2110183B,2.468656
NCIH2347,AZD7762,2.885394
LS1034,AZD5363,5.32364
LNCAPCLONEFGC,Oxaliplatin,1.5835489999999999
CAL29,UNC0638,4.213021
SW48,5-Fluorouracil,3.772643
MCF7,Sabutoclax,-0.12035499999999999
786O,KU-55933,5.707521
SKMEL2,MN-64,4.8461419999999995
HT29,5-Fluorouracil,3.039257
NCIH226,Afatinib,4.733864
A549,Wee1 Inhibitor,2.146738
LNCAPCLONEFGC,MIM1,3.172945
RCC10RGB,Niraparib,4.206021
NCIH322,SB216763,4.851914
RCC10RGB,Irinotecan,4.152368
RCC10RGB,UMI-77,6.210553
IGROV1,Navitoclax,3.9484339999999998
SCC25,Pevonedistat,0.863092
LOVO,Entinostat,1.8197560000000002
MESSA,Docetaxel,-4.827184
DKMG,XAV939,4.905983999999999
KP2,UMI-77,4.9290519999999995
SNB75,BMS-754807,2.805111
NCIH322,Dacarbazine,5.4965269999999995
LNCAPCLONEFGC,N-acetyl cysteine,10.119859
KP2,Cediranib,3.330932
NCIN87,LCL161,5.877903
KU1919,ABT737,1.534516
BXPC3,Ulixertinib,2.686503
NCIH2009,BMS-536924,1.784359
GAMG,SN-38,-3.0159990000000003
A549,GDC0810,4.951721
SW48,L-Oxonoreleagnine,1.4240709999999999
NCIH1437,AZD6738,1.567012
HCC827,Zoledronate,4.979429
SUIT2,Epirubicin,-0.588571
NMCG1,Linsitinib,7.898188
A549,Alisertib,0.653205
NCIH322,Savolitinib,3.024547
CAOV3,Refametinib,2.157356
NCIH1437,PD173074,3.234791
TE8,Ulixertinib,3.154837
RCC10RGB,glutathione,7.635263
SKNFI,GDC0810,5.3625110000000005
MCF7,SCH772984,5.314418
HCC1806,Wee1 Inhibitor,0.244344
LOVO,Refametinib,0.057765
TE8,YK-4-279,2.111145
5637,AZD5582,2.294117
RCM1,AZD1208,5.459998000000001
CORL23,Temsirolimus,3.8765940000000003
SUIT2,Vinblastine,-0.5338430000000001
HPAC,Ribociclib,5.667127
NCIH1355,AGI-5198,4.995825
MCF7,GSK2578215A,5.710145
CAL29,Linsitinib,5.680065
OVCAR3,AZD1332,4.52013
HCC1143,Cediranib,3.346804
CORL23,N-acetyl cysteine,10.43942
IGROV1,L-Oxonoreleagnine,4.678458999999999
CAL29,Docetaxel,-4.666506
KP2,Temozolomide,7.150764
CAOV3,AZD4547,5.5400339999999995
KYSE510,GSK343,2.538393
CAL29,XAV939,4.689597
